Alloy,Cr,Co,Mo,W,Ta,Nb,Al,Ti,Fe,C,B,Zr,Re,Hf,Mn,Si ,La,Y,V,P,S,Cu,O,Ni,Output
CMSX10,2,3,0.4,5,8,0.1,5.7,0.2,0,0,0,0,6,0.03,0,0,0,0,0,0,0,0,0,69.57,0
Nimonic 75,20,0,0,0,0,0,0,0.2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,73.8,0
UCSX1,2.3,6,1.5,7,8.4,0,5.8,0.2,0,0,0,0,6.3,0.03,0,0,0,0,0,0,0,0,0,62.47,0
Inconel 600,15.8,0,0,0,0,0,0,0,7.2,0.04,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,76.56,0
Inconel 601,23,0,0,0,0,0,1.35,0,12.54,0.1,0,0,0,0,1,0.5,0,0,0,0,0.015,1,0,60.495,0
Pernifer 36,0.25,0.5,0,0,0,0,0,0,63,0.05,0,0,0,0,0.6,0.4,0,0,0,0.015,0,0,0,36,0
Invar 42,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.4,0.2,0,0,0,0,0,0,0,41,0
Vascomax C-300,0,9,4.8,0,0,0,0.1,0.6,0,0.03,0.03,0.01,0,0,0.1,0.01,0,0,0,0.01,0.01,0,0,18.5,0
Nickel 200,0,0,0,0,0,0,0,0,0.4,0.15,0,0,0,0,0.35,0.35,0,0,0,0,0.01,0.25,0,98.49,0
Nickel 99.2,0.3,0,0,0,0,0,0,0,0.4,0.1,0,0,0,0,0.1,0.02,0,0,0,0,0.015,0.25,0,98.815,0
Vascomax C-350,0,12,4.8,0,0,0,0.1,1.4,0,0.03,0.03,0.01,0,0,0.1,0.1,0,0,0,0.01,0.01,0,0,18.5,0
Nickle 201,0,0,0,0,0,0,0,0,0.4,0.02,0,0,0,0,0.35,0.35,0,0,0,0,0.01,0.25,0,98.62,0
TMS162,2.9,5.8,3.9,5.8,5.6,0,5.8,0,0,0,0,0,4.9,0.1,0,0,0,0,0,0,0,0,0,65.2,0
UCSX8,2.3,6,3,6,8.4,0,5.8,0.2,0,0,0,0,6.3,0.03,0,0,0,0,0,0,0,0,0,61.97,0
TMS138,3,12,3,6,6,0,0,0,0,0,0,0,5,0.1,0,0,0,0,0,0,0,0,0,64.9,0
Vascomax C-250,0,7.5,4.8,0,0,0,0.1,0.4,0,0.03,0.004,0.01,0,0,0.1,0,0,0,0,0.01,0,0,0,18.5,0
TMS75,3,12,2,6,6,0,0,0,0,0,0,0,5,0.1,0,0,0,0,0,0,0,0,0,65.9,0
FT750DC,20,0,0,3.5,0,0,2.3,2.1,5,0.07,0.005,0,0,0,0,0.4,0,0,0,0,0,0,0,66.625,0
TMS 63,6.9,0,7.5,0,8.4,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.4,0
Rene N6,4.2,12.5,1.4,6,7.2,0,5.75,0,0,0,0,0,5,0.15,0,0,0,0,0,0,0,0,0,57.8,0
MA760,19.5,0,0,3.4,0,0,6,0,1.2,0.06,0,0,0,0,0,0,0,1,0,0,0,0,0,68.84,0
MA6000,15,0,0,3.9,0,0,4.5,2.3,1.5,0.06,0,0,0,0,0,0,0,1.1,0,0,0,0,0,71.64,0
Multimet N155,22.5,19.75,3.5,3,0.5,0.5,0,0,0,0.12,0,0,0,0,2,1,0,0,0,0.04,0.03,0,0,21,0
